memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.33 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 37.85 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 23 %, 8 %, 34, 34.95 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 41 %, 16 %, 35, 38.32 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.02 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.03 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.03 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 18 %, 8 %, 36, 156.79 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.23 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.23 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.03 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 37 %, 14 %, 35, 154.23 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.69 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.04 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 37.94 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 42 %, 16 %, 34, 38.24 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 27 %, 10 %, 34, 38.24 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.04 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
32768 MiB, 1894 MiB, 30616 MiB, 0 %, 0 %, 34, 38.04 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 1380 MHz, 877 MHz, GPU-6ae0664e-cfbe-6af5-aa39-cd1365d3cd27
